t,eta
0,-1.2229
0.1,-1.1764
0.2,-1.1141
0.3,-1.0498
0.4,-0.97251
0.5,-0.89005
0.6,-0.80485
0.7,-0.71096
0.8,-0.60879
0.9,-0.51965
1,-0.43907
1.1,-0.34576
1.2,-0.23183
1.3,-0.11424
1.4,0.018166
1.5,0.14853
1.6,0.26872
1.7,0.3833
1.8,0.4644
1.9,0.50912
2,0.50943
2.1,0.48165
2.2,0.42985
2.3,0.36517
2.4,0.29054
2.5,0.22694
2.6,0.18154
2.7,0.1561
2.8,0.14449
2.9,0.1222
3,0.098228
3.1,0.073335
3.2,0.047741
3.3,0.011668
3.4,-0.041033
3.5,-0.080257
3.6,-0.11692
3.7,-0.14976
3.8,-0.15427
3.9,-0.14253
4,-0.10594
4.1,-0.055926
4.2,-0.011316
4.3,0.046754
4.4,0.10754
4.5,0.16888
4.6,0.2091
4.7,0.22941
4.8,0.24186
4.9,0.27218
5,0.30713
5.1,0.3346
5.2,0.36343
5.3,0.39373
5.4,0.42961
5.5,0.45874
5.6,0.46445
5.7,0.44701
5.8,0.41204
5.9,0.37171
6,0.32816
6.1,0.29532
6.2,0.26983
6.3,0.27324
6.4,0.28104
6.5,0.29164
6.6,0.31367
6.7,0.35287
6.8,0.38932
6.9,0.4152
7,0.43026
7.1,0.43305
7.2,0.43232
7.3,0.42241
7.4,0.39098
7.5,0.34427
7.6,0.29349
7.7,0.22822
7.8,0.15848
7.9,0.093921
8,0.029031
8.1,-0.038916
8.2,-0.095795
8.3,-0.1373
8.4,-0.16944
8.5,-0.19165
8.6,-0.21016
8.7,-0.22184
8.8,-0.23733
8.9,-0.26914
9,-0.29239
9.1,-0.31322
9.2,-0.34197
9.3,-0.38519
9.4,-0.43354
9.5,-0.48814
9.6,-0.55265
9.7,-0.62347
9.8,-0.71094
9.9,-0.82646
10,-0.94601
10.1,-1.0592
10.2,-1.169
10.3,-1.2567
10.4,-1.3236
10.5,-1.3829
10.6,-1.4431
10.7,-1.4721
10.8,-1.4392
10.9,-1.3619
11,-1.2478
11.1,-1.0967
11.2,-0.91505
11.3,-0.69359
11.4,-0.46756
11.5,-0.25775
11.6,-0.060967
11.7,0.10929
11.8,0.24123
11.9,0.36598
12,0.47685
12.1,0.5807
12.2,0.67406
12.3,0.76996
12.4,0.88014
12.5,0.97126
12.6,1.0414
12.7,1.0791
12.8,1.0897
12.9,1.0916
13,1.0957
13.1,1.0991
13.2,1.0934
13.3,1.0784
13.4,1.0622
13.5,1.0584
13.6,1.0694
13.7,1.1023
13.8,1.1328
13.9,1.1464
14,1.1483
14.1,1.1473
14.2,1.1493
14.3,1.1187
14.4,1.0401
14.5,0.94153
14.6,0.84712
14.7,0.77028
14.8,0.6993
14.9,0.62297
15,0.54075
15.1,0.4744
15.2,0.41573
15.3,0.34589
15.4,0.25135
15.5,0.13862
15.6,0.01746
15.7,-0.098868
15.8,-0.21376
15.9,-0.34078
16,-0.4674
16.1,-0.60433
16.2,-0.74155
16.3,-0.88064
16.4,-1.0085
16.5,-1.1297
16.6,-1.243
16.7,-1.3465
16.8,-1.4351
